,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
93,Elvis81x,"#FoundationNFT,#foundationapp",0,0,0,0,https://twitter.com/twitter/statuses/1525919300778962944,2022-05-15 19:21:26+00:00
94,CryptoGlobalGem,,0,0,0,0,https://twitter.com/twitter/statuses/1525919106301857792,2022-05-15 19:20:39+00:00
95,PatriciaKSalas1,,0,0,0,0,https://twitter.com/twitter/statuses/1525918984893517824,2022-05-15 19:20:10+00:00
96,DopeAlpacas,"#NFTCommunity,#NFT",0,0,0,0,https://twitter.com/twitter/statuses/1525918892497022976,2022-05-15 19:19:48+00:00
97,oldenter,,0,0,0,0,https://twitter.com/twitter/statuses/1525918819931258881,2022-05-15 19:19:31+00:00
98,Cryptopital,"#NFTGiveaways,#gata",0,0,0,0,https://twitter.com/twitter/statuses/1525918817519554560,2022-05-15 19:19:30+00:00
99,Ibrardidthis,"#NFTCommunity,#NFT,#NFTs,#nftart,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525918773659721729,2022-05-15 19:19:20+00:00
100,Bownfts,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525918754009276416,2022-05-15 19:19:15+00:00
101,waffle_eth,#NFT,1,1,"['@waffle_eth', '@_FreeNFT']",0,https://twitter.com/twitter/statuses/1525918748883943424,2022-05-15 19:19:14+00:00
102,DrDadTips1,,0,0,0,0,https://twitter.com/twitter/statuses/1525918744354050048,2022-05-15 19:19:13+00:00
103,XCoolBots,"#CoolBots,#XRPL,#SOLO,#SOLOGENIC,#XRPLCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525918711622021120,2022-05-15 19:19:05+00:00
104,BeastyBoyNFTs,"#NFTCommunity,#NFTGiveaways,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525918586866262017,2022-05-15 19:18:35+00:00
105,_ProjectNFT_,"#nft,#nftart,#NFTs,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525918565181837315,2022-05-15 19:18:30+00:00
